Meso_region_geo,State,Year,AP_ha,AC_ha,QP_ton,RMP_kgha,VP_pct
Centro-Sul Mato-grossense,MT,1990,7013,6798,2636,387,2.81
Sudeste Mato-grossense,MT,1990,2665,2595,1947,750,0.46
Noroeste Goiano,GO,1990,3316,2891,2100,726,8.57
Norte Goiano,GO,1990,6329,6224,3505,563,11.73
Centro Goiano,GO,1990,123731,122910,66580,541,17.62
Leste Goiano,GO,1990,28083,27022,16476,609,10.58
Sul Goiano,GO,1990,22121,21723,30299,1394,5.04
Distrito Federal,DF,1990,6331,6331,7506,1185,10.27
Madeira-Guaporé,RO,1991,2419,2419,1098,453,3.37
Leste Rondoniense,RO,1991,136835,136835,75753,553,18.32
Vale do Juruá,AC,1991,1500,1500,848,565,3.22
Vale do Acre,AC,1991,14271,14271,10025,702,8.16
Norte Amazonense,AM,1991,9,9,12,1333,0.18
Sudoeste Amazonense,AM,1991,576,576,484,840,1.57
Centro Amazonense,AM,1991,663,663,487,734,1.19
Sul Amazonense,AM,1991,290,290,214,737,2.22
Norte de Roraima,RR,1991,753,665,367,551,1.96
Sul de Roraima,RR,1991,403,335,233,695,2.17
Baixo Amazonas,PA,1991,12381,12381,6831,551,7.78
Marajó,PA,1991,128,128,101,789,1.21
Metropolitana de Belém,PA,1991,495,495,248,501,1.28
Nordeste Paraense,PA,1991,16520,16470,11056,671,2.51
Sudoeste Paraense,PA,1991,5955,5916,4529,765,3.31
Sudeste Paraense,PA,1991,18153,17587,7730,439,2.75
Norte do Amapá,AP,1991,10,10,2,200,0.06
Sul do Amapá,AP,1991,103,90,19,211,0.13
Ocidental do Tocantins,TO,1991,4585,4565,1407,308,0.83
Oriental do Tocantins,TO,1991,3905,3905,1563,400,4.99
Norte Maranhense,MA,1991,9517,9507,4040,424,1.63
Oeste Maranhense,MA,1991,29243,29243,18632,637,8.1
Centro Maranhense,MA,1991,34021,34021,19713,579,7.01
Leste Maranhense,MA,1991,42648,42648,12733,298,5.97
Sul Maranhense,MA,1991,2825,2825,1211,428,1.71
Norte Piauiense,PI,1991,41767,41767,12825,307,7.73
Centro-Norte Piauiense,PI,1991,82585,81231,30068,370,17.77
Sudoeste Piauiense,PI,1991,45484,45484,17293,380,13.57
Sudeste Piauiense,PI,1991,126639,126609,44697,353,20.92
Noroeste Cearense,CE,1991,117308,117308,33389,284,16.78
Norte Cearense,CE,1991,110227,99772,27514,275,21.38
Metropolitana de Fortaleza,CE,1991,11584,11584,5810,501,8.25
Sertões Cearenses,CE,1991,225922,202031,59678,295,29.56
Jaguaribe,CE,1991,82541,81741,39564,484,47.32
Centro-Sul Cearense,CE,1991,43095,41095,12496,304,15.52
Sul Cearense,CE,1991,87858,87858,29190,332,15.07
Oeste Potiguar,RN,1991,64413,64413,25828,400,25.22
Central Potiguar,RN,1991,43629,43229,15605,360,29.94
Agreste Potiguar,RN,1991,75785,75785,35108,463,23.81
Leste Potiguar,RN,1991,7873,7873,2373,301,1.28
Sertão Paraibano,PB,1991,119131,119131,36751,308,31.74
